,asin,name,category,description,price,rating,No_of_Rating
962,B000TD5KR6,Talika Lipocils Eyelashes,Makeup,"Color


White




Product Benefits


From just 28 days, eyelashes are visibly fuller, appear denser and more glossy.




Ingredients


Water, Lactic Acid, Carbomer, Glycerin, Alcohol Denat., Sodium Hydroxide, Phenoxyethanol, Lecithin, Allantoin, Methylparaben, Ethylparaben, Isobutylparaben, Butylparaben, Propylparaben, Pyrus Malus (Apple) Fruit Extract, Hamamelis Virginia (Witch Hazel Leaf Extract, Aesculus Hippocastanum (Horse Chestnut) Extract, Urtica Dioica (Nettle) Leaf Extract, Hypericum Perforatum (St. John's Wort) Extract.Water, Lactic Acid, Carbomer, Glycerin, Alcohol Denat., Sodium Hydroxide,…

See more





Item Volume


10 Milliliters




Country/Region Of Origin


United States",45.95 ,3.9,553
963,B000TDBJHQ,"Silicon Mix Silicon Mix Intensive Hair Deep Treatment 36 Ounce, 36 Ounces",Hair Care,"Brand


Silicon Mix




Scent


Clean Scent




Hair Type


Damaged,All




Liquid Volume


1000 Milliliters




Ingredients


Water, cetyl alcohol, cetrimonium choride, mineral oil, stearyl alcohol, glycerin, fragrance, dimethicone, copolyol, cyclomethicone, keratin, diazolidinyl urea (and) iodopropynyl butylcarbamate, ceramide, citric acid.Water, cetyl alcohol, cetrimonium choride, mineral oil, stearyl alcohol, glycerin, fragrance, dimethicone, copolyol, cyclomethicone, keratin, diazolidinyl urea (…

See more",10.45 ,4.7,2371
964,B000TDFA3K,"Silicon Mix Silicon mix intensive hair deep treatment 16oz by avanti[health and beauty], 16.0 Ounce",Hair Care,"Brand


Silicon Mix




Hair Type


Damaged




Liquid Volume


16 Fluid Ounces




Ingredients


Water, cetyl alcohol, cetrimonium choride, mineral oil, stearyl alcohol, glycerin, fragrance, dimethicone, copolyol, cyclomethicone, keratin, diazolidinyl urea (and) iodopropynyl butylcarbamate, ceramide, citric acid.Water, cetyl alcohol, cetrimonium choride, mineral oil, stearyl alcohol, glycerin, fragrance, dimethicone, copolyol, cyclomethicone, keratin, diazolidinyl urea (…

See more





Item Dimensions LxWxH


1 x 1 x 1 inches",5.99 ,4.6,5092
965,B000TDFJZY,Silicon Mix Intensive Leave in Hair Shine and Conditioner 8oz by Avanti,Hair Care,"Brand


Silicon Mix




Hair Type


All




Liquid Volume


8 Fluid Ounces




Product Benefits


Shining, Smoothening




Item Weight


8 Ounces",10.50 ,4.6,439
966,B000TDG2PU,"Silicon Mix Intensive Hair Deep Treatment, 60 Ounce",Hair Care,"Brand


Silicon Mix




Scent


Clean Scent




Hair Type


Damaged




Liquid Volume


1770 Milliliters




Ingredients


Water, Mineral Oil, Cetyl Alcohol, Stearyl Alcohol, Glycerin, Citric Acid, Cetrimonium Chloride, Dimethicone Copolyol, Cyclomethicone, Keratin, Ceramide, Diazolidinyl Urea (and) Iodopropynyl Butylcarbamate, Fragrance.Water, Mineral Oil, Cetyl Alcohol, Stearyl Alcohol, Glycerin, Citric Acid, Cetrimonium Chloride, Dimethicone Copolyol, Cyclomethicone, Keratin, Cer…

See more",19.49 ,4.8,3659
967,B000TF70J0,Salerm Energy Hair Regenerator/Revitalizer 4 Applications,Hair Care,"Brand


Salerm




Item Weight


5 Ounces




Age Range (Description)


Adult",9.38 ,4.5,532
968,B000TFADXA,"Salerm 21 B5 Silk Protein, 6.9 Ounce",Hair Care,"Brand


Salerm




Hair Type


Damaged




Liquid Volume


250 Milliliters




Item Dimensions LxWxH


7 x 2 x 3 inches




Product Benefits


Shining",13.50 ,4.7,2517
969,B000TFJHZ0,"DermOrganic Intensive Hair Repair Deep Masque with Argan Oil, 8.5 fl.oz.",Hair Care,"Brand


DermOrganic




Hair Type


Damaged,Chemically Treated




Liquid Volume


8.5 Fluid Ounces




Ingredients


Aqua/Eau/D.Water, Cetearyl Alcohol, Behenamidopropyl Dimethylamine, Stearyl Alcohol, Caprylic Capric Triglyceride, Argan Oil, Rice Amino Acid, infusion of Sunflower Seed Extract & Grape Seed Extract & Sodium PCA & Panthenol & Tocopheral Acetate (Vitamin E), Glycereth-2 Cocoate/Benzoic Acid (natural preservative), Fragrance.Aqua/Eau/D.Water, Cetearyl Alcohol, Behenamidopropyl Dimethylamine, Stearyl Alcohol, Caprylic Capric Triglyceride, Argan Oil, Rice Amino A…

See more





Item Dimensions LxWxH


4 x 5 x 6 inches",27.00 ,4.5,510
970,B000TFPGP0,"Salerm Wheat Germ Mascarilla Capilar Conditioning Treatment, 33.7 Ounce",Hair Care,"Brand


Salerm




Hair Type


All types of hair




Liquid Volume


1000 Milliliters




Ingredients


Water, cetearyl alcohol, cetrimonium chloride, isopropyl alcohol, triticum vulgare(wheat) germ oil, panthenol, propylene glycol, amodimethicone, polyquaternium-11, chondrus, ciprus (carrageenan), tocopheryl acetate, linoleamidopropyl pg-dimonium chroide phosphate, trideceth-12, lecithin, sodium methylparaben, limonene, linalool, phenoxyethanol, potassium sorbate, ci 19140 (FD&C yellow no.5), CI 42053(FD&C green no.3), CI 16035 (FD&C Red no.40)Water, cetearyl alcohol, cetrimonium chloride, isopropyl alcohol, triticum vulgare(wheat) germ oil, panthenol, propylene glycol, amodimethicone, poly…

See more





Item Dimensions LxWxH


5 x 1.5 x 1.5 inches",40.40 ,4.7,1228
971,B000TFQH5I,"Salerm Wheat Germ Mascarilla Capilar Conditioning Treatment, 6.74 Ounce",Hair Care,"Brand


Salerm




Hair Type


Dry




Liquid Volume


1000 Milliliters




Item Dimensions LxWxH


3.5 x 3.5 x 3.5 inches




Product Benefits


Shining, Conditioning, Nourishing",17.60 ,4.7,1066
972,B000TG850M,"OGX Nourishing + Coconut Milk Moisturizing Conditioner for Strong & Healthy Hair, with Coconut Milk, Coconut Oil & Egg White Protein, Paraben-Free, Sulfate-Free Surfactants, 13 fl oz",Hair Care,"Special Ingredients


Coconut oil




Item Form


C




Brand


OGX




Specific Uses For Product


Nourishing, Moisturizing




Skin Type


All",5.79 ,4.6,8498
973,B000TGEJT8,"OGX Nourishing + Coconut Milk Moisturizing Shampoo for Strong & Healthy Hair, with Coconut Milk, Coconut Oil & Egg White Protein, Paraben-Free, Sulfate-Free Surfactants, 13 fl oz",Hair Care,"Brand


OGX




Scent


Coconut Milk




Hair Type


Thin




Liquid Volume


385 Milliliters




Item Weight


385 Grams",5.79 ,4.6,8498
974,B000THCTOO,"Nexxus Polymedic Emergency Reconstructor, 16.9 Ounce",Hair Care,"Brand


Nexxus




Hair Type


Damaged,Dry




Liquid Volume


16.9 Fluid Ounces




Item Dimensions LxWxH


2.5 x 1.5 x 8.5 inches




Product Benefits


Shining",276.00 ,4.5,571
975,B000TKH6G2,"It's a 10 Haircare Miracle Leave-In product, 4 fl. oz.",Hair Care,"Scent


Sunflower




Brand


It's a 10 Haircare




Item Form


Liquid




Ingredients


Water, Cetearyl Alcohol, Behentrimonium Chloride, Methylparaben, Propylparaben, Propylene Glycol, Panthenol, Cyclomethicone, Silk Amino Acids, Hell Anthus Annuus (Sunflower) Seed Extract, Camellia Sinensis Leaf Extract, Quaternium-80, Fragrance, Citric Acid, Methylchloroisothiazolinone and Methylisothiazolinone.Water, Cetearyl Alcohol, Behentrimonium Chloride, Methylparaben, Propylparaben, Propy…

See more





Product Benefits


Moisturizing,Detangle",13.99 ,4.7,5743
976,B000TNQVPG,"Maybelline Unstoppable Eyeliner, Pewter, 0.01 oz.",Makeup,"Brand


Maybelline New York




Item Form


Pencil




Ingredients


G842189/1: ISODODECANE, CERA ALBA / BEESWAX / CIRE DABEILLE, COPERNICIA CERIFERA CERA / CARNAUBA WAX / CIRE DE CARNAUBA, CETYL PEG/PPG-10/1 DIMETHICONE, ISOEICOSANE, TRIMETHYLSILOXYSILICATE, HYDROGENATED PALM KERNEL GLYCERIDES, HYDROGENATED PALM GLYCERIDES, ISOPROPYL PALMITATE, TOCOPHEROL, ALUMINA, RETINYL PALMITATE, SILICA, ALOE BARBADENSIS EXTRACT / ALOE BARBADENSIS LEAF EXTRACT [+/- MAY CONTAIN / PEUT CONTENIR, CI 77491, CI 77492, CI 77499 / IRON OXIDES, CI 77891 / TITANIUM DIOXIDE, MICA, CI 77742 / MANGANESE VIOLET, CI 77288 / CHROMIUM OXIDE GREENS, CI 77510 / FERRIC FERROCYANIDE, CI 77510 / FERRIC AMMONIUM FERROCYANIDE, CI 77266 / BLACK 2, CI 42090 / BLUE 1 LAKE, CI 75470 / CARMINE], D163751/2.G842189/1: ISODODECANE, CERA ALBA / BEESWAX / CIRE DABEILLE, COPERNICIA CERIFERA CERA / CARNAUBA WAX / CIRE DE CARNAUBA, CETYL PEG/…

See more





Finish Type


Matte




Item Weight


0.02 Pounds",5.98 ,4.6,14902
977,B000TSZ1KW,"Thierry Mugler Alien Non Refillable Stones Eau De Parfum Spray for Women, 2 Ounce",Fragrance,"Brand


Thierry Mugler




Item Form


Spray




Item Weight


253 Grams




Item Volume


60 Milliliters",108.90 ,4.7,1497
978,B000TUC9AA,"Swissco Deluxe Bath Brush, Tortoise 1 ea",Personal Care,"Brand


Swissco




Color


Tortoise




Item Dimensions LxWxH


16.5 x 3 x 1.5 inches",12.99 ,4.4,1010
979,B000TUUGAK,"NOW Essential Oils, Ylang Ylang Extra Oil, Comforting Aromatherapy Scent, Steam Distilled, 100% Pure, Vegan, Child Resistant Cap, 1-Ounce",Health Care,"Scent


Ylang Ylang




Ingredients


100% pure ylang ylang extra oil.




Brand


NOW




Item Form


Liquid




Liquid Volume


30 Milliliters",25.49 ,4.7,742
980,B000TW2JQC,"Herstyler Hair Repair Serum - Argan Oil Hair Serum, Vitamin E Hair Serum and Aloe Vera Hair Serum for Frizz Control, Shine and Straightening - Coz Love is in the Hair - 2 Fl. Oz, 60 Ml",Hair Care,"Scent


Aloe Vera, Argan Oil




Brand


HerStyler




Item Form


Liquid




Ingredients


Cyclopentasiloxane, Cyclohexasiloxane, Dimethicone, Aloe Barbadensis Leaf Extract, Fragrance(Parfum), Tocopheryl Acetate, Argania (Argan) Spinosa Extract.Cyclopentasiloxane, Cyclohexasiloxane, Dimethicone, Aloe Barbadensis Leaf Extract, Fragrance(Parfum), Tocopheryl Acetate, Argania (Argan) Spinosa Extract.

See more





Product Benefits


Shining, Frizz Control",11.99 ,4.4,16320
981,B000TYGI3U,"MIZANI Rose H2O Hairdress, 8 Oz",Hair Care,"Brand


MIZANI




Hair Type


Frizzy




Liquid Volume


236 Milliliters




Ingredients


AQUA / WATER, PARAFFINUM LIQUIDUM / MINERAL OIL, GLYCERIN, PETROLATUM, CETEARYL ALCOHOL, PEG-100 STEARATE, GLYCERYL STEARATE, POLYSORBATE 20, PARAFFIN, DIMETHICONE, DICETYL PHOSPHATE, CETETH-10 PHOSPHATE, METHYLPARABEN, PARFUM / FRAGRANCE, TRIETHANOLAMINE, ETHYLPARABEN, PANTHENOL, DISODIUM EDTA, CITRONELLOL, LAURETH-4, GERANIOL, LAURETH-23, CHLORHEXIDINE DIHYDROCHLORIDE, HYDROXYCITRONELLAL, BENZYL ALCOHOL, PROPYLENE GLYCOL, LINALOOL, ISOEUGENOL, ALPHA-ISOMETHYL IONONE, HEXYL CINNAMAL, CI 19140 / YELLOW 5, EUGENOL, URTICA DIOICA / NETTLE EXTRACT, EQUISETUM ARVENSE EXTRACT, CHAMOMILLA RECUTITA EXTRACT / MATRICARIA FLOWER EXTRACT, BETULA ALBA EXTRACT, CI 14700 / RED 4, CI 17200 / RED 33, CI 42090 / BLUE 1AQUA / WATER, PARAFFINUM LIQUIDUM / MINERAL OIL, GLYCERIN, PETROLATUM, CET…

See more





Item Dimensions LxWxH


3.25 x 3.25 x 2.91 inches",20.00 ,4.7,1028
982,B000TZWZHM,"Emergencia Toque Magico Emergencia Deep Intense Hair Treatment 32 Fl. Oz, 32 Ounces",Hair Care,"Brand


Emergencia




Hair Type


All




Liquid Volume


32 Fluid Ounces




Item Dimensions LxWxH


4 x 1 x 1 inches




Product Benefits


Shining",10.49 ,4.6,166
983,B000U01WJ8,"Revlon Colorstay 12 Hour Eye Shadow, Quad Steel Impressions, 0.16 Ounce",Makeup,"Brand


REVLON




Item Form


Powder




Ingredients


Ultramarines (CI 77007), Carmine (CI 75470) (CI 75470), Manganese Violet (CI 77742), Chromium Oxide Green (CI 77288), Chromium Hydroxide Green (CI 77289) (CI 77289), Ferric Ammonium Ferrocyanide (CI 77510) (CI 77510), Blue 1 Lake (CI 42090) (CI 42090), Yellow 5 Lake (CI 19140), Red 40 Lake (CI 16035), Mica, Boron Nitrate, Dimethicone, Calcium Aluminum Borosilicate, Talc, Cyclopentasiloxane, Polypropylene, Trimethylsiloxysilicate, Nylon 12, Acrylates/Dimethicone Copolymer, Zinc Stearate, Cetyl Dimethicone, Silica, Butylene Glycol Dicaprylate/Dicaprate, Acrylates Crosspolymer, Methicone, Mineral Oil (Paraffinum Liquidum) (Mineral Oil), Phenoxyethanol, Sorbic Acid, May Contain (+/-):, Bismuth Oxychloride (CI 77163) (CI 77163), Iron Oxides (CI 77491, 77492, 77499), Titanium Dioxide (CI 77891),Ultramarines (CI 77007), Carmine (CI 75470) (CI 75470), Manganese Violet (CI 77742), Chromium Oxide Green (CI 77288), Chromium Hydroxide Green…

See more





Item Weight


0.1 Pounds




Item Dimensions LxWxH


2.75 x 0.5 x 0.75 inches",13.99 ,4.5,79
984,B000U0CA0I,Dominican Hair Product Placenta de Ovejo (Sheep Placenta) 7oz by Bio Complex,Hair Care,"Brand


Star




Scent


Clean Scent




Hair Type


Coarse




Liquid Volume


7 Fluid Ounces




Ingredients


Purified water, Dimethicone, Cyclomethicone, Dimethiconol, Cetostenol, Alcohol, Lauryl Alcohol, Placenta Sheep (Substitute) Behentrimonium Methasulfate, Anmonium quaternary compound DMDM hydantoine, Fragrance. KEEP OUT OF REACH OF CHILDREN. STOP USING IF ANY ALLERGIC REACTIONS.Purified water, Dimethicone, Cyclomethicone, Dimethiconol, Cetostenol, Alcohol, Lauryl Alcohol, Placenta Sheep (Substitute) Behentrimonium Metha…

See more",13.99 ,4.5,184
985,B000U0CAYY,Star Lacio Lacio High Shine Leave in Hair Conditioner 7oz. [Health and Beauty],Hair Care,"Brand


Star




Hair Type


Dry




Liquid Volume


7 Fluid Ounces




Product Benefits


Shining",13.32 ,4.5,229
986,B000U0DWIM,HALKA BABA de CARACOL Intensive Treatment 16oz,Hair Care,"Brand


Baba de Caracol




Hair Type


Dry




Liquid Volume


16 Fluid Ounces




Ingredients


Deionized Water, Behentrimoninum Methosulfate, Soalkylamidopropyyl Ethyl Dimonium, Dipropileno Glycol, Cetil Alcohol, Cetyl Ester, Cropure Earth-Snail Extract, Lactamide MEA, Hidrolized Wheat Protein, Fragrance, Metil Paraben; Red 40, Yellow 5, Blue 1, FD&C.Deionized Water, Behentrimoninum Methosulfate, Soalkylamidopropyyl Ethyl Dimonium, Dipropileno Glycol, Cetil Alcohol, Cetyl Ester, Cropure Earth-Snail…

See more





Item Weight


16 Ounces",17.04 ,4.1,94
987,B000U0F9GA,"Conair Reflections Double-Sided Incandescent Lighted Vanity Makeup Mirror, 1x/7x magnification, Oiled Bronze finish",Tools & Accessories,"Material


Metal




Item Weight


181.44 Grams




Shape


Oval




Assembly Required


No




Brand


Conair",48.40 ,4.3,8646
988,B000U26ZZM,"JANE CARTER SOLUTION Wrap & Roll Smooth Styling Mousse (8oz) - No Buildup, Smoothing, Styler",Hair Care,"Brand


Jane Carter Solution




Item Form


Gel




Ingredients


Water (Aqua), Glycerin, PEG-45 Palm Kernel Glycerides, Polyquaternium-11, Fragrance (Parfum), Urtica Dioica (Nettle) Extract, Chamomilla Recutita (Matricaria) Flower Extract, Symphytum Officinale Leaf Extract, Equisetum Hyemale Extract, Lawsonia Inermis (Henna) Leaf Extract, Humulus Lupulus (Hops) Extract, Helianthus Annuus (Sunflower) Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Citrus Limon (Lemon) Peel Oil, Cocamidopropyl Betaine, Phenoxyethanol, Ethylhexylglycerin, Sodium Benzoate, Potassium Sorbate, Ciric Acid and Trisodium Ethylenediamine Disuccinate.Water (Aqua), Glycerin, PEG-45 Palm Kernel Glycerides, Polyquaternium-11, Fragrance (Parfum), Urtica Dioica (Nettle) Extract, Chamomilla Recutita (…

See more





Product Benefits


Shining




Hair Type


All",14.27 ,4.4,796
989,B000U52T9K,"Avon Solutions Dramatic Firming Cream, 1.7 Ounce",Skin Care,"Item Form


Cream




Brand


AVON




Age Range (Description)


Adult




Skin Tone


All




Item Weight


2.6 Ounces",12.85 ,4.2,246
990,B000U5O650,"Neutrogena Oil- and Alcohol-Free Facial Toner, Hypoallergenic Skin-Purifying Face Toner to Cleanse, Recondition and Purify Skin, Non-Comedogenic, Quick-Absorbing, 8.5 fl. oz",Skin Care,"Ingredients


Purified Water, Peg4, Butylene Glycol, Polysorbate 20, Ceteth24, Chloeth24, Panthenol, Glycereth26, Sodium Pca, Benzalkonium Chloride, Disodium Edta, Sodium Chloride, Methylparaben, Propylparaben, Fragrance.Purified Water, Peg4, Butylene Glycol, Polysorbate 20, Ceteth24, Chloeth24, Panthenol, Glycereth26, Sodium Pca, Benzalkonium Chloride, Disodium Edta, Sodium…

See more





Brand


Neutrogena




Scent


Alcohol Free




Skin Type


Sensitive




Item Weight


0.01 Kilograms",5.99 ,4.6,16996
991,B000UBN5S8,"Gloves In A Bottle Shielding Lotion for Dry Skin, 8 Ounce",Skin Care,"Item Form


Lotion




Brand


Gloves In A Bottle




Use for


Hands, Legs, Face




Skin Type


Dry




Age Range (Description)


Adult",17.95 ,4.5,6504
992,B000UEAARO,"Aveeno Soothing Bath Treatment with 100% Natural Colloidal Oatmeal for Treatment & Relief of Dry, Itchy, Irritated Skin Due to Poison Ivy, Eczema, Sunburn, Rash, Insect Bites & Hives, 8 ct.",Health Care,"Scent


Unscented




Ingredients


Active Ingredient: Colloidal oatmeal 100% (Skin protectant).




Brand


Aveeno




Item Weight


0.09 Pounds




Item Form


Packet",6.62 ,4.7,12150
993,B000UGVVHK,"L'Oreal Paris True Match Super-Blendable Powder, W1 Porcelain (Warm) 0.33 Oz",Makeup,"Color


W1 Porcelain




Brand


L'Oréal Paris




Ingredients


TALC • ZEA MAYS / CORN STARCH • DIMETHICONE • ZINC STEARATE • PENTAERYTHRITYL TETRAISOSTEARATE • OCTYLDODECYL STEAROYL STEARATE • ZEOLITE • SORBIC ACID • METHYLPARABEN • PROPYLPARABEN • TOCOPHERYL ACETATE • TETRASODIUM EDTA • BUTYLPARABEN • BHT • PANTHENOL[+/- MAY CONTAIN: CI 77491, CI 77492, CI 77499 / IRON OXIDES • CI 77891 / TITANIUM DIOXIDE • MICA • CI 77007 / ULTRAMARINES • CI 15850 / RED 7 LAKE ]TALC • ZEA MAYS / CORN STARCH • DIMETHICONE • ZINC STEARATE • PENTAERYTHRITYL TETRAISOSTEARATE • OCTYLDODECYL STEAROYL S…

See more





Coverage


Full




Product Benefits


Shine Control",5.00 ,4.7,10890
994,B000UJ246Y,Wrap Snap Go Rollers with Pony Tail Inverter in Zippered Bag.,Hair Care,"Size


12 Count (Pack of 1)




Brand


E-XCEPTIONAL




Material


Vinyl




Color


Multi-colored




Hair Type


Dry",10.95 ,4.4,410
995,B000ULLKMG,QTICA Intense Cuticle Repair Balm - 0.5oz,"Foot, Hand & Nail Care","Item Form


Cream




Brand


QTICA




Skin Type


Dry




Age Range (Description)


Adult




Skin Tone


All",18.00 ,4.7,335
996,B000ULRBSI,"Rene Furterer NATURIA Dry Shampoo, Oil-Absorbing, Clay, Beige Tint, Lightly Scented",Hair Care,"Brand


Rene Furterer




Scent


Peppermint




Hair Type


2




Liquid Volume


150 Milliliters




Item Weight


0.2 Pounds",28.00 ,4.5,358
997,B000ULRDJU,Schwarzkopf Bonacure Repair Sealed Ends (2.6 oz)  Colors may vary,Hair Care,"Brand


Schwarzkopf




Liquid Volume


150 Milliliters




Item Dimensions LxWxH


1 x 2 x 3 inches




Item Weight


0.02 Pounds




Age Range (Description)


Adult",17.95 ,4.5,127
998,B000UM2KCY,"Halo Headband Halo II, Sweatband Pullover for Men and Women, No Slip With Moisture Wicking Dryline Fabric",Sports & Fitness,"Fabric Type


Dryline




Care Instructions


Hand Wash




Origin


Made in the USA




Sport


Cycling




Brand


Halo Headband",14.14 ,4.4,75
999,B000UO3GGQ,"Ole Henriksen Sheer Transformation Age Defence, 1.7 Fluid Ounce",Skin Care,"Item Form


Liquid




Brand


Ole Henriksen




Skin Type


Oily, Combination, Dry, Normal




Skin Tone


All




Item Weight


0.3 Pounds",60.00 ,4.5,170
1000,B000UPEF88,Paul Mitchell Shampoo Two,Hair Care,"Brand


Paul Mitchell




Scent


Lemon




Hair Type


Oily Hair, All Hair Types




Liquid Volume


10.14 Milliliters




Item Weight


0.74 Pounds",11.50 ,4.6,6008
1001,B000UPOBRI,"Paul Mitchell The Original Leave-In Conditioner, For All Hair Types",Hair Care,"Brand


Paul Mitchell




Scent


Herbal with notes of Lavender and Rosemary




Hair Type


All Hair Types




Liquid Volume


300 Milliliters




Ingredients


Aqua (Water, Eau), Cetyl Alcohol, Stearyl Alcohol, Ceteth-2, Hedychium Coronarium (White Ginger) Flower/Leaf/Stem Extract, Algae Extract, Simmondsia Chinensis Leaf Extract, Anthemis Nobilis Flower Extract, Rosmarinus Officinalis Leaf Extract, Aloe Barbadensis Leaf Extract, Cetrimonium Chloride, Glycerin, Polyquaternium-37, Soyamidopropyl Ethyldimonium Ethosulfate, Propylene Glycol Dicaprylate/Dicaprate, PPG-1 Trideceth-6, Butylene Glycol, Propylene Glycol, Bisamino PEG/PPG-41/3 Aminoethyl PG-Propyl Dimethicone, Soybean Oil, Soyamidopropyl Dimethylamine, DMDM Hydantoin, Iodopropynyl Butylcarbamate, Citric Acid, CI 42090 (Blue 1), PEG-12 Dimethicone, Parfum (Fragrance), Citronellol, Coumarin, Geraniol, Limonene, Hexyl CinnamalAqua (Water, Eau), Cetyl Alcohol, Stearyl Alcohol, Ceteth-2, Hedychium Coronarium (White…

See more",12.50 ,4.6,7795
1002,B000UR90OK,"Diane Neck Duster with Powder Dispenser Barber & Salon Brush to Remove Loose Hair from Neckline & Ears After Haircut, Professional & Home Use, Soft Nylon Bristles, Stand Up Base, 6.25”, Medium, D110",Household Supplies,"Color


Black




Brand


Diane




Coverage


Medium




Skin Tone


All




Item Weight


0.22 Pounds",7.49 ,4.4,897
1003,B000URVDIQ,Ecco Bella Liquid Foundation Makeup (Ivory Porcelain),Makeup,"Color


Ivory Porcelain




Brand


Ecco Bella




Ingredients


Aloe vera barbadensis leaf extract*, vegetable glycerine, titanium dioxide, kaolin, coco-caprylate/caprate, cetyl esters, coco-glucaside, potassium cetyl phosphate, coconut alcohol, magnesium silicate, cetyl alcohol, peg-40 apricot kernal oil, helianthus annuus (sunflower) seed oil*, sodium PCA (water binder), caprylyl glycol, lonicera japonica (honeysuckle) flower extract, lonicera caprifolium (honeysuckle) flower extract, disodium edta, xanthan gum, saccharide isomerate (water binder). May contain: Iron oxides, ultramarines, mica. * Certified Organic/Certifié biologiqueAloe vera barbadensis leaf extract*, vegetable glycerine, titanium dioxide, kaolin, coco-caprylate/caprate, cetyl esters, coco-glucaside, pota…

See more





Coverage


Full




Finish Type


Natural",23.67 ,4.2,348
1004,B000URVDJU,Ecco Bella Natural Moisturizing Lipstick (Peach Frost),Makeup,"Brand


Ecco Bella




Ingredients


Castor oil, isopropyl palmitate (from coconut), candelilla wax, 100iu Vitamin E, organic calendula oil, organic chamomile oil, organic jojoba oil, flower wax coated iron oxides. Pink colors contain carmine.Castor oil, isopropyl palmitate (from coconut), candelilla wax, 100iu Vitamin E, organic calendula oil, organic chamomile oil, organic jojoba oil, flower wax…

See more





Item Form


Stick




Item Weight


18.14 Grams




Skin Tone


All",19.75 ,4.1,623
1005,B000URVDKY,Ecco Bella Natural Soft Eyeliner Pencil (Bronze),Makeup,"Brand


Ecco Bella




Item Form


Pencil




Ingredients


Hydrogenated palm kernel glycerides, hydrogenated palm glycerides, hydrogenated coconut oil, microcrystalline wax, japan wax, carnauba wax, hydrogenated castor oil, titanium dioxide, sorbitan palmitate, stearalkonium hectorite, iron oxides, ultramarines.Hydrogenated palm kernel glycerides, hydrogenated palm glycerides, hydrogenated coconut oil, microcrystalline wax, japan wax, carnauba wax, hydr…

See more





Finish Type


Metallic




Item Weight


0.35 Pounds",17.77 ,4.2,213
1006,B000URVDRW,"Organic Fiji, Coconut Oil Sugar Scrub, Pineapple Coconut 20oz",Skin Care,"Brand


Organic Fiji




Ingredients


Cold Pressed Coconut Oil, Cane Sugar, Pineapple Coconut Blend.




Scent


Pineapple Coconut




Product Benefits


Replenishing,Rejuvenating




Item Weight


1.4 Pounds",26.43 ,4.6,306
1007,B000URYTOQ,Ecco Bella FlowerColor Plant Based Vegan Mascara (Black),Makeup,"Color


Black




Product Benefits


Separating, Protecting




Ingredients


Purified water, carnauba wax, palmitic acid (from palm oil), clay, phenoxyethanol and iron oxides.




Country/Region Of Origin


United States




Is Waterproof


False",18.75 ,4.1,1405
1008,B000US0804,Ecco Bella FlowerColor Plant Based Vegan Mascara (Brown),Makeup,"Color


Brown




Product Benefits


Separating, Protecting




Ingredients


Purified water, carnauba wax, palmitic acid (from palm oil), clay, phenoxyethanol and iron oxides.




Country/Region Of Origin


United States




Is Waterproof


False",16.99 ,4.1,1405
1009,B000US084U,"OCuSOFT Lid Scrub Plus, Pre-Moistened Pads, 30 Count",Makeup,"Brand


OCuSOFT




Ingredients


Water, Ringer's Solution, Poe-80 Sorbitan Monolaurate, Methyl Gluceth-20, Peg-120 Methyl Glucose Dioleate, Decyl Polyglucoside, 1, 2-Hexanediol and 1, 2-Octanediol, Cocoamphodiacetate Disodium, D-panthenol, Polyaminopropyl Biguanide (Phmb).Water, Ringer's Solution, Poe-80 Sorbitan Monolaurate, Methyl Gluceth-20, Peg-120 Methyl Glucose Dioleate,…

See more





Scent


Outddor




Product Benefits


Cleansing




Active Ingredients


Outddor",15.38 ,4.7,9731
1010,B000US2564,Ecco Bella FlowerColor Concealer (Beige),Makeup,"Color


Beige




Brand


Ecco Bella




Ingredients


Castor oil, isopropyl palmitate (from palm oil), candellia wax, beeswax, organic calendula oil, organic chamomile oil, organic jojoba oil, 100 IU vitamin E, titanium dioxide, flower wax iron oxides.Castor oil, isopropyl palmitate (from palm oil), candellia wax, beeswax, organic calendula oil, organic chamomile oil, organic jojoba oil, 100 IU vitamin E, t…

See more





Coverage


Full; Light




Skin Tone


Light, Medium",21.75 ,4.1,536
